"variant","animation","direction","asset_kind","status","required_for","relative_path"
"act_iii_crusted","idle","side_right","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_iii_crusted/idle_side_right.png"
"act_iii_crusted","talk","back","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_iii_crusted/talk_back.png"
"act_iii_crusted","talk","back","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_iii_crusted/talk_back.png"
"act_iii_crusted","talk","front","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_iii_crusted/talk_front.png"
"act_iii_crusted","talk","front","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_iii_crusted/talk_front.png"
"act_iii_crusted","talk","side_left","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_iii_crusted/talk_side_left.png"
"act_iii_crusted","talk","side_left","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_iii_crusted/talk_side_left.png"
"act_iii_crusted","talk","side_right","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_iii_crusted/talk_side_right.png"
"act_iii_crusted","talk","side_right","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_iii_crusted/talk_side_right.png"
"act_iii_crusted","use","back","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_iii_crusted/use_back.png"
"act_iii_crusted","use","back","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_iii_crusted/use_back.png"
"act_iii_crusted","use","front","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_iii_crusted/use_front.png"
"act_iii_crusted","use","front","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_iii_crusted/use_front.png"
"act_iii_crusted","use","side_left","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_iii_crusted/use_side_left.png"
"act_iii_crusted","use","side_left","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_iii_crusted/use_side_left.png"
"act_iii_crusted","use","side_right","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_iii_crusted/use_side_right.png"
"act_iii_crusted","use","side_right","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_iii_crusted/use_side_right.png"
"act_iii_crusted","walk","back","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_iii_crusted/walk_back.png"
"act_iii_crusted","walk","back","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_iii_crusted/walk_back.png"
"act_iii_crusted","walk","front","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_iii_crusted/walk_front.png"
"act_iii_crusted","walk","front","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_iii_crusted/walk_front.png"
"act_iii_crusted","walk","side_left","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_iii_crusted/walk_side_left.png"
"act_iii_crusted","walk","side_left","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_iii_crusted/walk_side_left.png"
"act_iii_crusted","walk","side_right","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_iii_crusted/walk_side_right.png"
"act_iii_crusted","walk","side_right","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_iii_crusted/walk_side_right.png"
"act_iii_crusted","wet","back","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_iii_crusted/wet_back.png"
"act_iii_crusted","wet","back","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_iii_crusted/wet_back.png"
"act_iii_crusted","wet","front","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_iii_crusted/wet_front.png"
"act_iii_crusted","wet","front","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_iii_crusted/wet_front.png"
"act_iii_crusted","wet","side_left","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_iii_crusted/wet_side_left.png"
"act_iii_crusted","wet","side_left","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_iii_crusted/wet_side_left.png"
"act_iii_crusted","wet","side_right","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_iii_crusted/wet_side_right.png"
"act_iii_crusted","wet","side_right","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_iii_crusted/wet_side_right.png"
